O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Kupekar Sangramsinh alias Sangramsinh Bhagyeshrao Desai,Shiv Sena,30989,0,30989,14.82
2,Rajesh Narasingrao Patil,Nationalist Congress Party,51711,0,51711,24.73
3,Shrikant Arjun Kamble,Bahujan Samaj Party,851,0,851,0.41
4,Ashok Kashinath Charati,Jan Surajya Shakti,11908,0,11908,5.69
5,Vinayak alias Appi Virgonda Patil,Vanchit Bahujan Aaghadi,43602,0,43602,20.85
6,Aniruddh Kedari Redekar,Independent,5051,0,5051,2.42
7,Appasaheb Baburao Bhosale,Independent,755,0,755,0.36
8,Namdev Baswant Sutar,Independent,573,0,573,0.27
9,Prakash Ramchandra Redekar,Independent,418,0,418,0.2
10,Mahesh Narsingrao Patil,Independent,1735,0,1735,0.83
11,Ramesh Dattu Redekar,Independent,9221,0,9221,4.41
12,Shivaji Shattupa Patil,Independent,47780,0,47780,22.85
13,Subhash Vaiju Desai,Independent,1440,0,1440,0.69
14,Santosh Krushna Patil,Independent,1397,0,1397,0.67
15,NOTA,None of the Above,1708,0,1708,0.82
,,,,,,
